,text,freq,highlight
0,energy,47,false
1,the boundary,17,false
2,land management,12,false
3,opportunities,11,false
4,public lands,10,false
5,climate change,10,false
6,certain federal land,10,false
7,communities,10,false
8,challenges,10,false
9,renewable energy,9,false
10,management,9,false
11,land,9,false
12,reclamation,9,false
13,certain land,8,false
14,programs,8,false
15,the office,8,false
16,secretary,8,false
17,science,7,false
18,transportation,6,false
19,economic development,6,false
20,nuclear energy,6,false
21,the opportunities,6,false
22,security,6,false
23,impacts,6,false
24,public health,5,false
25,oversight,5,false
26,the environment,5,false
27,the impacts,5,false
28,engineers,5,false
29,operation,5,false
30,assistant administrator,5,false
31,federal land,5,false
32,projects,4,false
33,the superior national forest,4,false
34,indigenous communities,4,false
35,jobs,4,false
36,the mineral withdrawal,4,false
37,administrator,4,false
38,access,4,false
39,environmental justice,4,false
40,solutions,4,false
41,joseph goffman,4,false
42,the licensing,4,false
43,resiliency,4,false
44,the national forest system,4,false
45,wildfires,4,false
46,alaska natives,4,false
47,the water resources development act,4,false
48,the republic,4,false
49,solid waste,4,false
50,electricity,4,false
51,certain outer continental shelf revenues,4,false
52,implementation,4,false
53,state and local perspectives,4,false
54,use,4,false
55,the tennessee valley authority,3,false
56,development,3,false
57,the national wilderness preservation system,3,false
58,nuclear waste,3,false
59,the completion,3,false
60,leases,3,false
61,its environs,3,false
62,energy efficiency,3,false
63,certain activities,3,false
64,uranium,3,false
65,private water rights,3,false
66,certain additions,3,false
67,the budget,3,false
68,the future,3,false
69,climate,3,false
70,“the future,3,false
71,“connecting america,3,false
72,taxpayers,3,false
73,federal lands,3,false
74,indians,3,false
75,offshore drilling,3,false
76,action,3,false
77,natural resources,3,false
78,the u.s. territories,3,false
79,the interior’s spending priorities,3,false
80,the need,3,false
81,lessons,3,false
82,diversity,3,false
83,all act,3,false
84,enforcement,3,false
85,consumers,3,false
86,coastal communities,3,false
87,americans,2,false
88,the economy,2,false
89,ocean energy management,2,false
90,the spending priorities,2,false
91,the climate,2,false
92,transparency,2,false
93,conservation,2,false
94,the production,2,false
95,hydrofluorocarbons,2,false
96,indian tribes,2,false
97,virtual hearing,2,false
98,prepa,2,false
99,the puerto rico electric power authority,2,false
100,scientific integrity,2,false
101,inclusion,2,false
102,equity,2,false
103,civil rights,2,false
104,affordability,2,false
105,the conservation,2,false
106,health benefits,2,false
107,the threats,2,false
108,ferc,2,false
109,peaceful protesters,2,false
110,fraud,2,false
111,waste,2,false
112,mismanagement,2,false
113,subpoenas,2,false
114,issuance,2,false
115,atmospheric administration legislative hearing,2,false
116,the purpose,2,false
117,"""climate change",2,false
118,wrongful conduct,2,false
119,tribal communities,2,false
120,all americans,2,false
121,land and water resources,2,false
122,workers,2,false
123,innovation,2,false
124,august,2,false
125,restoration,2,false
126,abuse,2,false
127,relation,2,false
128,wildlife service,2,false
129,the obligations,2,false
130,"""oil and gas development",2,false
131,the u.s. bureau,2,false
132,lands,2,false
133,states,2,false
134,need,2,false
135,polluters,2,false
136,the actions,2,false
137,the compliance,2,false
138,functions,2,false
139,offshore oil and gas leasing,2,false
140,the future act,2,false
141,u.s. climate targets,2,false
142,"""the future",2,false
143,recreation,2,false
144,policy priorities,2,false
145,the jurisdiction,2,false
146,safety,2,false
