,noun_phrase,Dtotal_frequency,Dhouse_frequency,Dsenate_frequency,phrase_category
150,energy,47,0,47,general
154,the boundary,17,0,17,general
23,land management,12,4,8,general
114,opportunities,11,2,9,general
10,public lands,10,6,4,general
12,climate change,10,6,4,general
164,certain federal land,10,0,10,general
18,communities,10,5,5,general
165,challenges,10,0,10,general
38,renewable energy,9,3,6,general
44,management,9,3,6,general
171,land,9,0,9,general
17,reclamation,9,5,4,general
180,certain land,8,0,8,general
183,programs,8,0,8,general
184,the office,8,0,8,general
174,secretary,8,0,8,general
190,science,7,0,7,general
193,transportation,6,0,6,general
197,economic development,6,0,6,general
200,nuclear energy,6,0,6,general
202,the opportunities,6,0,6,general
104,security,6,2,4,general
11,impacts,6,6,4,general
13,public health,5,5,4,general
14,oversight,5,5,4,general
15,the environment,5,5,4,general
16,the impacts,5,5,4,general
221,engineers,5,0,5,general
219,operation,5,0,5,general
218,assistant administrator,5,0,5,general
210,federal land,5,0,5,general
224,projects,4,0,4,general
27,the superior national forest,4,4,8,general
28,indigenous communities,4,4,8,general
24,jobs,4,4,8,general
26,the mineral withdrawal,4,4,8,general
226,administrator,4,0,4,general
21,access,4,4,5,general
20,environmental justice,4,4,5,general
19,solutions,4,4,5,general
225,joseph goffman,4,0,4,general
250,the licensing,4,0,4,general
231,resiliency,4,0,4,general
233,the national forest system,4,0,4,general
257,wildfires,4,0,4,general
254,alaska natives,4,0,4,general
251,the water resources development act,4,0,4,general
249,the republic,4,0,4,general
248,solid waste,4,0,4,general
246,electricity,4,0,4,general
237,certain outer continental shelf revenues,4,0,4,general
236,implementation,4,0,4,general
235,state and local perspectives,4,0,4,general
234,use,4,0,4,general
271,the tennessee valley authority,3,0,3,general
273,development,3,0,3,general
274,the national wilderness preservation system,3,0,3,general
270,nuclear waste,3,0,3,general
268,the completion,3,0,3,general
263,leases,3,0,3,general
267,its environs,3,0,3,general
259,energy efficiency,3,0,3,general
261,certain activities,3,0,3,general
262,uranium,3,0,3,general
266,private water rights,3,0,3,general
276,certain additions,3,0,3,general
59,the budget,3,3,21,general
41,the future,3,3,6,general
61,climate,3,3,21,general
57,“the future,3,3,21,general
56,“connecting america,3,3,21,general
52,taxpayers,3,3,4,general
51,federal lands,3,3,4,general
49,indians,3,3,25,general
47,offshore drilling,3,3,25,general
43,action,3,3,6,general
48,natural resources,3,3,25,general
40,the u.s. territories,3,3,6,general
36,the interior’s spending priorities,3,3,8,general
35,the need,3,3,8,general
34,lessons,3,3,8,general
33,diversity,3,3,8,general
31,all act,3,3,8,general
30,enforcement,3,3,8,general
39,consumers,3,3,6,general
29,coastal communities,3,3,8,general
78,americans,2,2,5,general
75,the economy,2,2,5,general
76,ocean energy management,2,2,5,general
77,the spending priorities,2,2,5,general
81,the climate,2,2,5,general
79,transparency,2,2,5,general
80,conservation,2,2,5,general
72,the production,2,2,21,general
73,hydrofluorocarbons,2,2,21,general
99,indian tribes,2,2,5,general
69,virtual hearing,2,2,21,general
68,prepa,2,2,21,general
67,the puerto rico electric power authority,2,2,21,general
66,scientific integrity,2,2,21,general
65,inclusion,2,2,21,general
64,equity,2,2,21,general
63,civil rights,2,2,21,general
62,affordability,2,2,21,general
102,the conservation,2,2,5,general
83,health benefits,2,2,5,general
86,the threats,2,2,5,general
87,ferc,2,2,5,general
112,peaceful protesters,2,2,4,general
120,fraud,2,2,9,general
119,waste,2,2,9,general
118,mismanagement,2,2,9,general
117,subpoenas,2,2,9,general
116,issuance,2,2,9,general
115,atmospheric administration legislative hearing,2,2,9,general
96,the purpose,2,2,5,general
111,"""climate change",2,2,4,general
122,wrongful conduct,2,2,9,general
110,tribal communities,2,2,4,general
109,all americans,2,2,4,general
97,land and water resources,2,2,5,general
106,workers,2,2,4,general
105,innovation,2,2,4,general
98,august,2,2,5,general
103,restoration,2,2,5,general
121,abuse,2,2,9,general
123,relation,2,2,9,general
90,wildlife service,2,2,5,general
139,the obligations,2,2,6,general
92,"""oil and gas development",2,2,5,general
93,the u.s. bureau,2,2,5,general
94,lands,2,2,5,general
95,states,2,2,5,general
149,need,2,2,4,general
146,polluters,2,2,6,general
144,the actions,2,2,6,general
138,the compliance,2,2,6,general
124,functions,2,2,9,general
137,offshore oil and gas leasing,2,2,6,general
134,the future act,2,2,6,general
133,u.s. climate targets,2,2,6,general
132,"""the future",2,2,6,general
128,recreation,2,2,9,general
126,policy priorities,2,2,9,general
125,the jurisdiction,2,2,9,general
108,safety,2,2,4,general
