,noun_phrase,Dtotal_frequency,Dhouse_frequency,Dsenate_frequency,phrase_category
152,virginia,22,0,22,place
7,california,19,6,13,place
156,oregon,15,0,15,place
159,michigan,13,0,13,place
129,colorado,12,2,10,place
160,new mexico,12,0,12,place
162,massachusetts,11,0,11,place
166,nevada,10,0,10,place
168,montana,10,0,10,place
169,maryland,10,0,10,place
172,arizona,9,0,9,place
178,texas,8,0,8,place
186,new york,8,0,8,place
185,north carolina,8,0,8,place
179,illinois,8,0,8,place
182,utah,8,0,8,place
177,pennsylvania,8,0,8,place
131,washington,8,2,6,place
130,olympic national forest,8,2,6,place
74,florida,7,2,5,place
187,alaska,7,0,7,place
191,connecticut,7,0,7,place
196,the national wild and scenic rivers system,6,0,6,place
208,north dakota,6,0,6,place
220,west virginia,5,0,5,place
212,tennessee,5,0,5,place
211,kentucky,5,0,5,place
222,new jersey,4,0,4,place
229,georgia,4,0,4,place
244,the rio grande del norte national monument,4,0,4,place
245,louisiana,4,0,4,place
255,wyoming,4,0,4,place
264,the dolores river national conservation area,3,0,3,place
265,the dolores river special management area,3,0,3,place
269,the continental divide national scenic trail,3,0,3,place
