,noun_phrase,Rtotal_frequency,Rhouse_frequency,Rsenate_frequency,phrase_category
95,energy,42,7,35,general
23,certain land,33,16,17,general
16,land management,32,20,12,general
5,natural resources,29,29,0,general
11,opportunities,28,22,6,general
15,land,25,20,5,general
7,access,25,25,0,general
58,certain federal land,25,9,16,general
13,oversight,21,21,0,general
17,trust,20,20,0,general
18,reclamation,20,20,0,general
38,states,19,13,6,general
20,federal lands,18,18,0,general
37,federal land,17,13,4,general
75,wildlife,15,8,7,general
34,challenges,14,14,0,general
36,the benefit,13,13,0,general
88,management,13,7,6,general
69,the office,13,8,5,general
94,the impacts,12,7,5,general
41,respect,12,12,0,general
101,public lands,11,7,4,general
45,transparency,11,11,0,general
162,secretary,10,0,10,general
64,leases,9,9,0,general
61,endangered,9,9,0,general
59,the authority,9,9,0,general
55,a special resource study,9,9,0,general
168,development,8,0,8,general
169,the transfer,8,0,8,general
78,wildlife service,8,8,0,general
66,atmospheric administration,8,8,0,general
65,indian country,8,8,0,general
73,indians,8,8,0,general
68,the boundaries,8,8,0,general
71,accountability,8,8,0,general
67,safety,8,8,0,general
89,implementation,7,7,0,general
172,operation,7,0,7,general
171,the boundary,7,0,7,general
92,certain lands,7,7,0,general
105,chapter,7,7,0,general
106,the rule,7,7,0,general
104,congressional disapproval,7,7,0,general
99,health,7,7,0,general
98,missions,7,7,0,general
93,barriers,7,7,0,general
174,the feasibility,7,0,7,general
176,fish,6,0,6,general
182,administrative jurisdiction,6,0,6,general
177,the board,6,0,6,general
178,directors,6,0,6,general
179,the tennessee valley authority,6,0,6,general
181,energy efficiency,6,0,6,general
183,wilderness,6,0,6,general
184,bills,6,0,6,general
138,threatened,6,6,0,general
139,plants,6,6,0,general
129,wildfires,6,6,0,general
130,commerce,6,6,0,general
119,the treaty,6,6,0,general
110,economic development,6,6,0,general
111,an act,6,6,0,general
112,certain property,6,6,0,general
113,the following bill,6,6,0,general
116,indian lands,6,6,0,general
117,indian affairs,6,6,0,general
118,threatened species,6,6,0,general
120,the importance,6,6,0,general
121,veterans,6,6,0,general
123,";
•	h.r.",6,6,0,general
124,human services,6,6,0,general
125,the confederated tribes,6,6,0,general
128,the future,6,6,0,general
192,public land,5,0,5,general
197,the federal land policy and management act,5,0,5,general
198,units,5,0,5,general
142,purposes,5,5,0,general
195,"municipal, rural, and industrial water",5,0,5,general
194,a project,5,0,5,general
190,demonstration,5,0,5,general
191,renewable energy,5,0,5,general
147,indian tribes,5,5,0,general
146,the ability,5,5,0,general
144,impacts,5,5,0,general
235,the national forest system,4,0,4,general
229,the mineral leasing and geothermal leasing laws,4,0,4,general
230,projects,4,0,4,general
231,funds,4,0,4,general
233,conservation,4,0,4,general
234,the city,4,0,4,general
242,the colorado wilderness act,4,0,4,general
241,a component,4,0,4,general
225,the public land laws,4,0,4,general
252,a commemorative work,4,0,4,general
253,honor,4,0,4,general
254,the definition,4,0,4,general
228,the mining laws,4,0,4,general
199,robert wallace,4,0,4,general
224,disposal,4,0,4,general
223,appropriation,4,0,4,general
222,all forms,4,0,4,general
219,national recreation areas,4,0,4,general
215,the maintenance,4,0,4,general
214,a report,4,0,4,general
206,the states,4,0,4,general
205,transportation,4,0,4,general
204,enforcement,4,0,4,general
203,surface mining reclamation,4,0,4,general
202,lanny erdos,4,0,4,general
200,nuclear energy,4,0,4,general
255,assistant administrator,4,0,4,general
