,noun_phrase,Rtotal_frequency,Rhouse_frequency,Rsenate_frequency,phrase_category
4,california,43,32,11,place
40,virginia,36,12,24,place
8,utah,36,24,12,place
10,ut,23,23,0,place
96,new mexico,22,7,15,place
47,nevada,22,11,11,place
31,arizona,20,14,6,place
57,texas,20,9,11,place
29,louisiana,19,14,5,place
152,maryland,18,0,18,place
114,oregon,18,6,12,place
126,florida,17,6,11,place
154,colorado,15,0,15,place
145,tennessee,15,5,10,place
27,sd,15,15,0,place
33,ak,14,14,0,place
85,montana,12,7,5,place
91,new york,12,7,5,place
84,oklahoma,12,7,5,place
76,kentucky,12,8,4,place
87,washington,12,7,5,place
72,alaska,12,8,4,place
159,wyoming,11,0,11,place
165,ohio,9,0,9,place
81,ca,8,8,0,place
167,north dakota,8,0,8,place
90,mississippi,7,7,0,place
102,ga,7,7,0,place
134,nv,6,6,0,place
131,la,6,6,0,place
180,pennsylvania,6,0,6,place
196,south dakota,5,0,5,place
187,south carolina,5,0,5,place
143,arkansas,5,5,0,place
210,the national forest system land,4,0,4,place
247,minnesota,4,0,4,place
246,iowa,4,0,4,place
245,olympic national forest,4,0,4,place
244,the national wild and scenic rivers system,4,0,4,place
243,the sarvis creek wilderness,4,0,4,place
240,the national mall,4,0,4,place
226,location,4,0,4,place
221,josephine county,4,0,4,place
220,curry county,4,0,4,place
218,the valley corridor,4,0,4,place
217,the rim,4,0,4,place
216,the santa monica mountains national recreation area,4,0,4,place
213,white pine counties,4,0,4,place
212,elko,4,0,4,place
211,the humboldt-toiyabe national forest,4,0,4,place
250,joshua tree national park,4,0,4,place
