,Noun Phrase,Frequency
0,the interior,13
1,the secretary,13
2,the department,11
3,representatives,11
4,america,9
5,the bureau,8
6,the state,7
7,priorities,6
8,""" legislative hearing",6
9,public lands,6
10,impacts,6
11,california,5
12,public health,5
13,oversight,5
14,the environment,5
15,the impacts,5
16,reclamation,5
17,climate change,5
18,communities,5
19,solutions,4
20,access,4
21,the policies,4
22,land management,4
23,rep. pete stauber,4
24,the mineral withdrawal,4
25,the superior national forest,4
26,indigenous communities,4
27,coastal communities,3
28,environmental justice,3
29,enforcement,3
30,all act,3
31,(virtual hearing,3
32,diversity,3
33,lessons,3
34,the need,3
35,the interior’s spending priorities,3
36,health care,3
37,consumers,3
38,the u.s. territories,3
39,the future,3
40,the president’s fiscal year 2020 budget proposal,3
41,action,3
42,management,3
43,the surface mining control and reclamation act,3
44,the united states,3
45,natural resources,3
46,indians,3
47,jobs,3
48,the use,3
49,taxpayers,3
50,the mining law,3
51,agriculture,3
52,h.res,3
53,“connecting america,3
54,“the future,3
55,biomedical research,3
56,the budget,3
57,puerto rico self-determination act,3
58,affordability,2
59,civil rights,2
60,equity,2
61,inclusion,2
62,scientific integrity,2
63,the puerto rico electric power authority,2
64,prepa,2
65,virtual hearing,2
66,covid-19’s impact,2
67,pandemics,2
68,the production,2
69,hydrofluorocarbons,2
70,the economy,2
71,ocean energy management,2
72,the spending priorities,2
73,americans,2
74,transparency,2
75,conservation,2
76,the climate,2
77,day,2
78,renewable energy,2
79,health benefits,2
80,miners act,2
81,“miners pension protection act,2
82,the threats,2
83,the national oceanic,2
84,u.s. fish,2
85,wildlife service,2
86,rep. grijalva,2
87,"""oil and gas development",2
88,the u.s. bureau,2
89,lands,2
90,states,2
91,the purpose,2
92,land and water resources,2
93,august,2
94,indian tribes,2
95,(rep. lamborn,2
96,rep. huffman,2
97,the conservation,2
98,restoration,2
99,offshore drilling,2
100,innovation,2
101,workers,2
102,mmiw,2
103,safety,2
104,all americans,2
105,tribal communities,2
106,"""climate change",2
107,peaceful protesters,2
108,mental health,2
109,opportunities,2
110,atmospheric administration legislative hearing,2
111,issuance,2
112,subpoenas,2
113,mismanagement,2
114,waste,2
115,fraud,2
116,abuse,2
117,wrongful conduct,2
118,relation,2
119,functions,2
120,the jurisdiction,2
121,policy priorities,2
122,america's wildlife act,2
123,recreation,2
124,federal lands,2
125,olympic national forest,2
126,"""the future",2
127,u.s. climate targets,2
128,the future act,2
129,h.res.1247,2
130,the 2023-2028 five-year program,2
131,offshore oil and gas leasing,2
132,the compliance,2
133,the obligations,2
134,the mineral leasing act,2
135,h.res.1252,2
136,h.res.1253,2
137,(ranking member bruce westerman,2
138,the actions,2
139,the interior’s departmental ethics office,2
140,the bipartisan infrastructure law,2
141,-,2
142,need,2
143,biomedicine,2
144,the u.s nuclear legacy,2
145,our communications networks,2
146,implementation,2
147,the reconciliation directive,2
148,the concurrent resolution,2
149,res.14,2
