,Noun Phrase,Frequency
0,the state,70
1,the secretary,64
2,the interior,55
3,energy,47
4,the department,27
5,the united states,25
6,an assistant secretary,22
7,agriculture,21
8,the environmental protection agency,21
9,virginia,21
10,the boundary,17
11,a member,17
12,director,15
13,oregon,14
14,an assistant administrator,14
15,california,12
16,michigan,12
17,the nuclear regulatory commission,11
18,new mexico,11
19,all,10
20,certain federal land,10
21,challenges,10
22,the wild and scenic rivers act,10
23,massachusetts,10
24,colorado,9
25,department,9
26,land,9
27,opportunities,9
28,nevada,9
29,montana,9
30,maryland,9
31,both,9
32,secretary,8
33,the district,8
34,columbia,8
35,arizona,8
36,certain land,8
37,the national park system,8
38,programs,8
39,the office,8
40,land management,8
41,pennsylvania,7
42,texas,7
43,illinois,7
44,a unit,7
45,utah,7
46,office,7
47,science,7
48,north carolina,7
49,the federal energy regulatory commission,7
50,the bureau,7
51,new york,7
52,transportation,6
53,that,6
54,components,6
55,the national wild and scenic rivers system,6
56,economic development,6
57,the national park service,6
58,alaska,6
59,which,6
60,management,6
61,olympic national forest,6
62,nuclear energy,6
63,david m. uhlmann,6
64,the opportunities,6
65,sara c. bronin,6
66,connecticut,6
67,chairman,6
68,the advisory council,6
69,historic preservation,6
70,laura daniel-davis,6
71,the infrastructure investment and jobs act,5
72,renewable energy,5
73,federal land,5
74,a pilot program,5
75,the administrator,5
76,a study,5
77,communities,5
78,the alaska native claims settlement act,5
79,the forest service,5
80,washington,5
81,assistant administrator,5
82,operation,5
83,north dakota,5
84,engineers,5
85,a program,4
86,projects,4
87,kentucky,4
88,tennessee,4
89,joseph goffman,4
90,administrator,4
91,the federal highway administration,4
92,federal cochairperson,4
93,the bipartisan infrastructure law,4
94,each,4
95,resiliency,4
96,the omnibus public land management act,4
97,public lands,4
98,the national forest system,4
99,use,4
100,state and local perspectives,4
101,implementation,4
102,certain outer continental shelf revenues,4
103,those acts,4
104,the united states fish and wildlife service,4
105,the designation,4
106,the john d. dingell,4
107,jr. conservation,4
108,recreation act,4
109,the rio grande del norte national monument,4
110,carlton waterhouse,4
111,solid waste,4
112,the republic,4
113,the use,4
114,the licensing,4
115,the water resources development act,4
116,west virginia,4
117,the united states courthouse,4
118,florida,4
119,entry,4
120,alaska natives,4
121,reclamation,4
122,deputy secretary,4
123,david crane,3
124,new jersey,3
125,energy efficiency,3
126,the energy policy act,3
127,certain activities,3
128,uranium,3
129,leases,3
130,the dolores river national conservation area,3
131,the dolores river special management area,3
132,private water rights,3
133,its environs,3
134,the completion,3
135,the continental divide national scenic trail,3
136,nuclear waste,3
137,the tennessee valley authority,3
138,georgia,3
139,the clean air act,3
140,development,3
141,the national wilderness preservation system,3
142,the smith river national recreation area act,3
143,certain additions,3
144,the smith river national recreation area,3
145,certain wild rivers,3
146,the santa monica mountains national recreation area,3
147,the rim,3
148,the valley corridor,3
149,the forest and rangeland renewable resources planning act,3
