,Noun Phrase,Frequency
0,the secretary,102
1,the interior,85
2,the state,70
3,the bureau,33
4,california,31
5,natural resources,29
6,the united states,25
7,access,25
8,utah,23
9,agriculture,23
10,opportunities,22
11,ut,22
12,the department,21
13,oversight,21
14,rep. hageman,21
15,land,20
16,land management,20
17,trust,20
18,reclamation,20
19,rep. don young,18
20,the endangered species act,18
21,rep. begich,18
22,federal lands,17
23,certain land,16
24,that,16
25,rep. curtis,15
26,rep. westerman,15
27,rep. rob bishop,14
28,the national park system,14
29,columbia,14
30,challenges,14
31,sd,14
32,rep. boebert,14
33,louisiana,13
34,arizona,13
35,the benefit,13
36,federal land,13
37,ak,13
38,states,13
39,rep. hurd,13
40,respect,12
41,rep. fulcher,12
42,rep. mcclintock,12
43,congress,11
44,virginia,11
45,transparency,11
46,the mineral leasing act,11
47,united states code,11
48,rep. johnson,11
49,nevada,10
50,the use,10
51,the district,10
52,america,10
53,rep. stauber,10
54,rep. kennedy,10
55,a special resource study,9
56,the national park service,9
57,certain federal land,9
58,the authority,9
59,bureau,9
60,endangered,9
61,a unit,9
62,rep. graves,9
63,leases,9
64,texas,8
65,indian country,8
66,atmospheric administration,8
67,safety,8
68,the boundaries,8
69,the office,8
70,a legislative hearing,8
71,accountability,8
72,indians,8
73,way,8
74,wildlife,8
75,the discussion draft,8
76,wildlife service,8
77,rep. lamalfa,8
78,rep. valadao,8
79,rep. moore,8
80,rep. wittman,8
81,•	s.,7
82,management,7
83,implementation,7
84,certain lands,7
85,barriers,7
86,the impacts,7
87,energy,7
88,rep. scott tipton,7
89,missions,7
90,alaska,7
91,kentucky,7
92,health,7
93,the president,7
94,public lands,7
95,(rep. gosar,7
96,congressional disapproval,7
97,chapter,7
98,the rule,7
99,rep. ciscomani,7
100,ca,7
101,rep. leger fernandez,7
102,oklahoma,6
103,montana,6
104,the marine mammal protection act,6
105,economic development,6
106,an act,6
107,washington,6
108,certain property,6
109,the following bill,6
110,mississippi,6
111,new york,6
112,rep. tom mcclintock,6
113,indian lands,6
114,new mexico,6
115,indian affairs,6
116,threatened species,6
117,the treaty,6
118,the importance,6
119,veterans,6
120,the pittman-robertson wildlife restoration act,6
121,";
•	h.r.",6
122,human services,6
123,the confederated tribes,6
124,subcommittee vote,6
125,the future,6
126,commerce,6
127,ga,6
128,rep. stefanik,6
129,rep. peltola,6
130,federal lands act,6
131,rep. kim,6
132,rep. tiffany,6
133,threatened,6
134,plants,6
135,rep. ezell,6
136,rep. downing,6
137,purposes,5
138,impacts,5
139,the ability,5
140,indian tribes,5
141,(rep. paul cook,5
142,oregon,5
143,rep. chris stewart,5
144,march,5
145,the impact,5
146,the conservation,5
147,lands,5
148,medicare,5
149,water,5
