noun_phrase,Dtotal_frequency
energy,47
the boundary,17
land management,12
opportunities,11
public lands,10
certain federal land,10
challenges,10
communities,10
reclamation,9
land,9
management,9
the office,8
programs,8
certain land,8
science,7
renewable energy,7
transportation,6
economic development,6
nuclear energy,6
the opportunities,6
implementation,6
impacts,6
climate change,7
operation,5
federal land,5
public health,5
oversight,5
the environment,5
the impacts,5
engineers,5
the mineral withdrawal,4
indigenous communities,4
the superior national forest,4
access,4
solutions,4
projects,4
solid waste,4
administrator,4
the republic,4
the national forest system,4
use,4
state and local perspectives,4
certain outer continental shelf revenues,4
jr. conservation,4
alaska natives,4
resiliency,4
the water resources development act,4
the licensing,4
leases,3
its environs,3
uranium,3
certain activities,3
energy efficiency,3
the smith river national recreation area act,3
the completion,3
certain additions,3
the national wilderness preservation system,3
development,3
the clean air act,3
the tennessee valley authority,3
nuclear waste,3
the dolores river national conservation area,3
private water rights,3
certain wild rivers,3
indians,3
consumers,3
the budget,3
“the future,3
“connecting america,3
taxpayers,3
jobs,3
natural resources,3
action,3
the u.s. territories,3
the future,3
the interior’s spending priorities,3
the need,3
lessons,3
diversity,3
all act,3
enforcement,3
environmental justice,3
coastal communities,3
the climate,2
the spending priorities,2
americans,2
transparency,2
conservation,2
safety,2
health benefits,2
the threats,2
wildlife service,2
the economy,2
ocean energy management,2
affordability,2
hydrofluorocarbons,2
the production,2
virtual hearing,2
prepa,2
the puerto rico electric power authority,2
scientific integrity,2
inclusion,2
equity,2
civil rights,2
"""oil and gas development",2
rep. grijalva,2
the u.s. bureau,2
all americans,2
fraud,2
federal lands,2
recreation,2
policy priorities,2
the jurisdiction,2
functions,2
relation,2
wrongful conduct,2
abuse,2
waste,2
u.s. climate targets,2
mismanagement,2
innovation,2
issuance,2
atmospheric administration legislative hearing,2
workers,2
peaceful protesters,2
tribal communities,2
"""the future",2
the future act,2
lands,2
the reconciliation directive,2
states,2
the purpose,2
land and water resources,2
august,2
indian tribes,2
the conservation,2
restoration,2
the concurrent resolution,2
offshore drilling,2
the 2023-2028 five-year program,2
our communications networks,2
the u.s nuclear legacy,2
need,2
the actions,2
the obligations,2
the compliance,2
offshore oil and gas leasing,2
subpoenas,2
