,noun_phrase,Dtotal_frequency,Dhouse_frequency,Dsenate_frequency,phrase_category
153,virginia,21,0,21,place
11,california,17,5,12,place
157,oregon,14,0,14,place
159,michigan,12,0,12,place
161,new mexico,11,0,11,place
166,massachusetts,10,0,10,place
170,nevada,9,0,9,place
172,maryland,9,0,9,place
171,montana,9,0,9,place
167,colorado,9,0,9,place
177,arizona,8,0,8,place
125,olympic national forest,8,2,6,place
182,pennsylvania,7,0,7,place
183,texas,7,0,7,place
184,illinois,7,0,7,place
186,utah,7,0,7,place
189,north carolina,7,0,7,place
191,new york,7,0,7,place
204,connecticut,6,0,6,place
195,the national wild and scenic rivers system,6,0,6,place
198,alaska,6,0,6,place
216,washington,5,0,5,place
219,north dakota,5,0,5,place
223,kentucky,4,0,4,place
224,tennessee,4,0,4,place
242,the rio grande del norte national monument,4,0,4,place
248,west virginia,4,0,4,place
250,florida,4,0,4,place
255,new jersey,3,0,3,place
262,the dolores river special management area,3,0,3,place
266,the continental divide national scenic trail,3,0,3,place
269,georgia,3,0,3,place
275,the smith river national recreation area,3,0,3,place
277,the santa monica mountains national recreation area,3,0,3,place
278,the rim,3,0,3,place
279,the valley corridor,3,0,3,place
