,noun_phrase,Rtotal_frequency,Rhouse_frequency,Rsenate_frequency,phrase_category
87,energy,42,7,35,general
23,certain land,33,16,17,general
16,land management,32,20,12,general
5,natural resources,29,29,0,general
10,opportunities,28,22,6,general
57,certain federal land,25,9,16,general
7,access,25,25,0,general
15,land,25,20,5,general
13,oversight,21,21,0,general
18,reclamation,20,20,0,general
17,trust,20,20,0,general
38,states,19,13,6,general
22,federal lands,17,17,0,general
36,federal land,17,13,4,general
74,wildlife,15,8,7,general
30,challenges,14,14,0,general
35,the benefit,13,13,0,general
82,management,13,7,6,general
69,the office,13,8,5,general
86,the impacts,12,7,5,general
40,respect,12,12,0,general
94,public lands,11,7,4,general
45,transparency,11,11,0,general
162,secretary,10,0,10,general
63,leases,9,9,0,general
60,endangered,9,9,0,general
55,a special resource study,9,9,0,general
58,the authority,9,9,0,general
170,the transfer,8,0,8,general
169,development,8,0,8,general
76,wildlife service,8,8,0,general
65,indian country,8,8,0,general
72,indians,8,8,0,general
71,accountability,8,8,0,general
66,atmospheric administration,8,8,0,general
67,safety,8,8,0,general
68,the boundaries,8,8,0,general
83,implementation,7,7,0,general
98,the rule,7,7,0,general
173,the boundary,7,0,7,general
174,operation,7,0,7,general
176,the feasibility,7,0,7,general
84,certain lands,7,7,0,general
97,chapter,7,7,0,general
96,congressional disapproval,7,7,0,general
93,the president,7,7,0,general
92,health,7,7,0,general
89,missions,7,7,0,general
85,barriers,7,7,0,general
185,bills,6,0,6,general
133,threatened,6,6,0,general
183,administrative jurisdiction,6,0,6,general
182,energy efficiency,6,0,6,general
181,the tennessee valley authority,6,0,6,general
180,directors,6,0,6,general
179,the board,6,0,6,general
178,fish,6,0,6,general
184,wilderness,6,0,6,general
134,plants,6,6,0,general
130,federal lands act,6,6,0,general
125,the future,6,6,0,general
115,indian affairs,6,6,0,general
116,threatened species,6,6,0,general
117,the treaty,6,6,0,general
118,the importance,6,6,0,general
119,veterans,6,6,0,general
121,";
•	h.r.",6,6,0,general
122,human services,6,6,0,general
123,the confederated tribes,6,6,0,general
108,certain property,6,6,0,general
109,the following bill,6,6,0,general
106,an act,6,6,0,general
105,economic development,6,6,0,general
126,commerce,6,6,0,general
113,indian lands,6,6,0,general
191,demonstration,5,0,5,general
192,public land,5,0,5,general
193,a project,5,0,5,general
194,"municipal, rural, and industrial water",5,0,5,general
195,the federal land policy and management act,5,0,5,general
196,units,5,0,5,general
149,water,5,5,0,general
146,the conservation,5,5,0,general
145,the impact,5,5,0,general
144,march,5,5,0,general
140,indian tribes,5,5,0,general
139,the ability,5,5,0,general
138,impacts,5,5,0,general
137,purposes,5,5,0,general
147,lands,5,5,0,general
236,the national forest system,4,0,4,general
229,projects,4,0,4,general
230,renewable energy,4,0,4,general
231,funds,4,0,4,general
234,conservation,4,0,4,general
235,the city,4,0,4,general
253,honor,4,0,4,general
242,a component,4,0,4,general
243,the colorado wilderness act,4,0,4,general
252,a commemorative work,4,0,4,general
227,the mining laws,4,0,4,general
254,the definition,4,0,4,general
255,assistant administrator,4,0,4,general
228,the mineral leasing and geothermal leasing laws,4,0,4,general
221,all forms,4,0,4,general
225,location,4,0,4,general
224,the public land laws,4,0,4,general
223,disposal,4,0,4,general
222,appropriation,4,0,4,general
218,national recreation areas,4,0,4,general
214,the maintenance,4,0,4,general
213,a report,4,0,4,general
205,the states,4,0,4,general
204,transportation,4,0,4,general
203,enforcement,4,0,4,general
202,surface mining reclamation,4,0,4,general
201,lanny erdos,4,0,4,general
199,nuclear energy,4,0,4,general
197,robert wallace,4,0,4,general
257,administrator,4,0,4,general
