noun_phrase,Rtotal_frequency
energy,42
certain land,33
land management,32
natural resources,29
opportunities,28
certain federal land,25
access,25
land,25
oversight,21
reclamation,20
trust,20
states,19
federal land(s),34
wildlife,15
challenges,14
a study,13
management,13
the benefit,13
the impacts,12
respect,12
public lands,11
transparency,11
leases,9
the authority,9
a special resource study,9
endangered,9
development,8
the transfer,8
the boundaries,8
wildlife service,8
indians,8
accountability,8
safety,8
atmospheric administration,8
indian country,8
operation,7
the boundary,7
the feasibility,7
the rule,7
chapter,7
barriers,7
health,7
congressional disapproval,7
implementation,7
certain lands,7
the president,7
missions,7
wilderness,6
economic development,6
plants,6
fish,6
the board,6
directors,6
the tennessee valley authority,6
administrative jurisdiction,6
energy efficiency,6
threatened,6
certain property,6
the following bill,6
indian lands,6
indian affairs,6
threatened species,6
the treaty,6
the importance,6
veterans,6
human services,6
federal lands act,6
the confederated tribes,6
the future,6
commerce,6
demonstration,5
public land,5
a project,5
"municipal, rural, and industrial water",5
the federal land policy and management act,5
units,5
purposes,5
water,5
the conservation,5
the impact,5
march,5
indian tribes,5
the ability,5
impacts,5
lands,5
jr. conservation,4
renewable energy,4
funds,4
conservation,4
the city,4
the national forest system,4
a commemorative work,4
a component,4
the national wild and scenic rivers system,4
jeffrey hall,4
the mineral leasing and geothermal leasing laws,4
honor,4
the definition,4
assistant administrator,4
projects,4
disposal,4
the mining laws,4
location,4
the public land laws,4
appropriation,4
all forms,4
national recreation areas,4
the maintenance,4
a report,4
the states,4
transportation,4
enforcement,4
surface mining reclamation,4
lanny erdos,4
nuclear energy,4
robert wallace,4
administrator,4
