,noun_phrase,Rtotal_frequency,Rhouse_frequency,Rsenate_frequency,phrase_category
4,california,41,31,10,place
44,virginia,34,11,23,place
8,utah,34,23,11,place
11,ut,22,22,0,place
49,nevada,20,10,10,place
114,new mexico,20,6,14,place
34,arizona,18,13,5,place
64,texas,18,8,10,place
33,louisiana,17,13,4,place
152,maryland,17,0,17,place
142,oregon,16,5,11,place
31,sd,14,14,0,place
155,colorado,14,0,14,place
37,ak,13,13,0,place
111,new york,10,6,4,place
163,florida,10,0,10,place
161,wyoming,10,0,10,place
107,washington,10,6,4,place
103,montana,10,6,4,place
102,oklahoma,10,6,4,place
91,kentucky,10,7,3,place
166,tennessee,9,0,9,place
167,ohio,8,0,8,place
172,north dakota,7,0,7,place
100,ca,7,7,0,place
90,alaska,7,7,0,place
110,mississippi,6,6,0,place
127,ga,6,6,0,place
189,pennsylvania,5,0,5,place
219,curry county,4,0,4,place
250,joshua tree national park,4,0,4,place
247,south dakota,4,0,4,place
246,olympic national forest,4,0,4,place
245,the national wild and scenic rivers system,4,0,4,place
244,the sarvis creek wilderness,4,0,4,place
241,the national mall,4,0,4,place
220,josephine county,4,0,4,place
210,the humboldt-toiyabe national forest,4,0,4,place
217,the valley corridor,4,0,4,place
216,the rim,4,0,4,place
215,the santa monica mountains national recreation area,4,0,4,place
212,white pine counties,4,0,4,place
211,elko,4,0,4,place
209,the national forest system land,4,0,4,place
198,south carolina,4,0,4,place
256,alabama,4,0,4,place
