,Noun Phrase,Frequency
0,the interior,13
1,the secretary,13
2,the department,11
3,representatives,11
4,america,9
5,the bureau,8
6,the state,7
7,california,6
8,priorities,6
9,""" legislative hearing",6
10,public lands,6
11,impacts,6
12,climate change,6
13,public health,5
14,oversight,5
15,the environment,5
16,the impacts,5
17,reclamation,5
18,communities,5
19,solutions,4
20,environmental justice,4
21,access,4
22,the policies,4
23,land management,4
24,jobs,4
25,rep. pete stauber,4
26,the mineral withdrawal,4
27,the superior national forest,4
28,indigenous communities,4
29,coastal communities,3
30,enforcement,3
31,all act,3
32,(virtual hearing,3
33,diversity,3
34,lessons,3
35,the need,3
36,the interior’s spending priorities,3
37,health care,3
38,renewable energy,3
39,consumers,3
40,the u.s. territories,3
41,the future,3
42,the president’s fiscal year 2020 budget proposal,3
43,action,3
44,management,3
45,the surface mining control and reclamation act,3
46,the united states,3
47,offshore drilling,3
48,natural resources,3
49,indians,3
50,the use,3
51,federal lands,3
52,taxpayers,3
53,the mining law,3
54,agriculture,3
55,h.res,3
56,“connecting america,3
57,“the future,3
58,biomedical research,3
59,the budget,3
60,puerto rico self-determination act,3
61,climate,3
62,affordability,2
63,civil rights,2
64,equity,2
65,inclusion,2
66,scientific integrity,2
67,the puerto rico electric power authority,2
68,prepa,2
69,virtual hearing,2
70,covid-19’s impact,2
71,pandemics,2
72,the production,2
73,hydrofluorocarbons,2
74,florida,2
75,the economy,2
76,ocean energy management,2
77,the spending priorities,2
78,americans,2
79,transparency,2
80,conservation,2
81,the climate,2
82,day,2
83,health benefits,2
84,miners act,2
85,“miners pension protection act,2
86,the threats,2
87,ferc,2
88,the national oceanic,2
89,u.s. fish,2
90,wildlife service,2
91,rep. grijalva,2
92,"""oil and gas development",2
93,the u.s. bureau,2
94,lands,2
95,states,2
96,the purpose,2
97,land and water resources,2
98,august,2
99,indian tribes,2
100,(rep. lamborn,2
101,rep. huffman,2
102,the conservation,2
103,restoration,2
104,security,2
105,innovation,2
106,workers,2
107,mmiw,2
108,safety,2
109,all americans,2
110,tribal communities,2
111,"""climate change",2
112,peaceful protesters,2
113,mental health,2
114,opportunities,2
115,atmospheric administration legislative hearing,2
116,issuance,2
117,subpoenas,2
118,mismanagement,2
119,waste,2
120,fraud,2
121,abuse,2
122,wrongful conduct,2
123,relation,2
124,functions,2
125,the jurisdiction,2
126,policy priorities,2
127,america's wildlife act,2
128,recreation,2
129,colorado,2
130,olympic national forest,2
131,washington,2
132,"""the future",2
133,u.s. climate targets,2
134,the future act,2
135,h.res.1247,2
136,the 2023-2028 five-year program,2
137,offshore oil and gas leasing,2
138,the compliance,2
139,the obligations,2
140,the mineral leasing act,2
141,h.res.1252,2
142,h.res.1253,2
143,(ranking member bruce westerman,2
144,the actions,2
145,the interior’s departmental ethics office,2
146,polluters,2
147,the bipartisan infrastructure law,2
148,-,2
149,need,2
