,Noun Phrase,Frequency
0,the state,70
1,the secretary,64
2,the interior,55
3,energy,47
4,the department,27
5,the united states,25
6,an assistant secretary,22
7,virginia,22
8,agriculture,21
9,the environmental protection agency,21
10,the boundary,17
11,a member,17
12,oregon,15
13,director,15
14,an assistant administrator,14
15,california,13
16,michigan,13
17,new mexico,12
18,the nuclear regulatory commission,11
19,massachusetts,11
20,all,10
21,certain federal land,10
22,colorado,10
23,challenges,10
24,nevada,10
25,the wild and scenic rivers act,10
26,montana,10
27,maryland,10
28,department,9
29,land,9
30,opportunities,9
31,arizona,9
32,both,9
33,secretary,8
34,the district,8
35,columbia,8
36,pennsylvania,8
37,texas,8
38,illinois,8
39,certain land,8
40,the national park system,8
41,utah,8
42,programs,8
43,the office,8
44,north carolina,8
45,land management,8
46,new york,8
47,alaska,7
48,a unit,7
49,office,7
50,science,7
51,connecticut,7
52,the federal energy regulatory commission,7
53,the bureau,7
54,renewable energy,6
55,transportation,6
56,that,6
57,components,6
58,the national wild and scenic rivers system,6
59,economic development,6
60,the national park service,6
61,which,6
62,management,6
63,olympic national forest,6
64,washington,6
65,nuclear energy,6
66,david m. uhlmann,6
67,the opportunities,6
68,sara c. bronin,6
69,chairman,6
70,the advisory council,6
71,historic preservation,6
72,laura daniel-davis,6
73,north dakota,6
74,the infrastructure investment and jobs act,5
75,federal land,5
76,kentucky,5
77,tennessee,5
78,a pilot program,5
79,the administrator,5
80,a study,5
81,communities,5
82,the alaska native claims settlement act,5
83,the forest service,5
84,assistant administrator,5
85,operation,5
86,west virginia,5
87,florida,5
88,engineers,5
89,new jersey,4
90,a program,4
91,projects,4
92,joseph goffman,4
93,administrator,4
94,the federal highway administration,4
95,federal cochairperson,4
96,the bipartisan infrastructure law,4
97,georgia,4
98,each,4
99,resiliency,4
100,the omnibus public land management act,4
101,public lands,4
102,the national forest system,4
103,use,4
104,state and local perspectives,4
105,implementation,4
106,certain outer continental shelf revenues,4
107,those acts,4
108,the united states fish and wildlife service,4
109,the designation,4
110,the john d. dingell,4
111,jr. conservation,4
112,recreation act,4
113,the rio grande del norte national monument,4
114,louisiana,4
115,electricity,4
116,carlton waterhouse,4
117,solid waste,4
118,the republic,4
119,the use,4
120,security,4
121,the licensing,4
122,the water resources development act,4
123,the united states courthouse,4
124,entry,4
125,alaska natives,4
126,wyoming,4
127,reclamation,4
128,deputy secretary,4
129,climate change,4
130,wildfires,4
131,david crane,3
132,energy efficiency,3
133,the energy policy act,3
134,certain activities,3
135,uranium,3
136,leases,3
137,the dolores river national conservation area,3
138,the dolores river special management area,3
139,private water rights,3
140,its environs,3
141,the completion,3
142,the continental divide national scenic trail,3
143,nuclear waste,3
144,the tennessee valley authority,3
145,the clean air act,3
146,development,3
147,the national wilderness preservation system,3
148,the smith river national recreation area act,3
149,certain additions,3
