,Noun Phrase,Frequency
0,the secretary,102
1,the interior,85
2,the state,70
3,the bureau,33
4,california,32
5,natural resources,29
6,the united states,25
7,access,25
8,utah,24
9,agriculture,23
10,ut,23
11,opportunities,22
12,the department,21
13,oversight,21
14,rep. hageman,21
15,land,20
16,land management,20
17,trust,20
18,reclamation,20
19,rep. don young,18
20,federal lands,18
21,the endangered species act,18
22,rep. begich,18
23,certain land,16
24,that,16
25,rep. curtis,15
26,rep. westerman,15
27,sd,15
28,rep. rob bishop,14
29,louisiana,14
30,the national park system,14
31,arizona,14
32,columbia,14
33,ak,14
34,challenges,14
35,rep. boebert,14
36,the benefit,13
37,federal land,13
38,states,13
39,rep. hurd,13
40,virginia,12
41,respect,12
42,rep. fulcher,12
43,rep. mcclintock,12
44,congress,11
45,transparency,11
46,the mineral leasing act,11
47,nevada,11
48,united states code,11
49,rep. johnson,11
50,the use,10
51,the district,10
52,america,10
53,rep. stauber,10
54,rep. kennedy,10
55,a special resource study,9
56,the national park service,9
57,texas,9
58,certain federal land,9
59,the authority,9
60,bureau,9
61,endangered,9
62,a unit,9
63,rep. graves,9
64,leases,9
65,indian country,8
66,atmospheric administration,8
67,safety,8
68,the boundaries,8
69,the office,8
70,a legislative hearing,8
71,accountability,8
72,alaska,8
73,indians,8
74,way,8
75,wildlife,8
76,kentucky,8
77,the discussion draft,8
78,wildlife service,8
79,rep. lamalfa,8
80,rep. valadao,8
81,ca,8
82,rep. moore,8
83,rep. wittman,8
84,oklahoma,7
85,montana,7
86,•	s.,7
87,washington,7
88,management,7
89,implementation,7
90,mississippi,7
91,new york,7
92,certain lands,7
93,barriers,7
94,the impacts,7
95,energy,7
96,new mexico,7
97,rep. scott tipton,7
98,missions,7
99,health,7
100,the president,7
101,public lands,7
102,ga,7
103,(rep. gosar,7
104,congressional disapproval,7
105,chapter,7
106,the rule,7
107,rep. ciscomani,7
108,rep. leger fernandez,7
109,the marine mammal protection act,6
110,economic development,6
111,an act,6
112,certain property,6
113,the following bill,6
114,oregon,6
115,rep. tom mcclintock,6
116,indian lands,6
117,indian affairs,6
118,threatened species,6
119,the treaty,6
120,the importance,6
121,veterans,6
122,the pittman-robertson wildlife restoration act,6
123,";
•	h.r.",6
124,human services,6
125,the confederated tribes,6
126,florida,6
127,subcommittee vote,6
128,the future,6
129,wildfires,6
130,commerce,6
131,la,6
132,rep. stefanik,6
133,rep. peltola,6
134,nv,6
135,federal lands act,6
136,rep. kim,6
137,rep. tiffany,6
138,threatened,6
139,plants,6
140,rep. ezell,6
141,rep. downing,6
142,purposes,5
143,arkansas,5
144,impacts,5
145,tennessee,5
146,the ability,5
147,indian tribes,5
148,(rep. paul cook,5
149,rep. chris stewart,5
