,chamber,congress,eventId,updateDate,url,committees,date,title,witnesses
7,House,113,102797,2024-05-17T15:47:43Z,https://api.congress.gov/v3/committee-meeting/113/house/102797?format=json,"[{'name': 'House Energy and Commerce Subcommittee on Health', 'systemCode': 'hsif14', 'url': 'https://api.congress.gov/v3/committee/house/hsif14?format=json'}]",2014-12-10T15:15:00Z,Examining FDA's Role in the Regulation of Genetically Modified Food Ingredients,none
12,House,113,102782,2024-05-17T15:47:36Z,https://api.congress.gov/v3/committee-meeting/113/house/102782?format=json,"[{'systemCode': 'hsii22', 'url': 'https://api.congress.gov/v3/committee/house/hsii22?format=json'}]",2014-12-04T15:00:00Z,"legislative hearing on:•	H.R. 3099 (Miller of FL), to provide for the development of a fishery management plan for the Gulf of Mexico red snapper, and for other purposes. “Gulf of Mexico Red Snapper Conservation Act of 2013”",none
24,House,113,102760,2024-05-17T15:47:05Z,https://api.congress.gov/v3/committee-meeting/113/house/102760?format=json,"[{'name': 'House Natural Resources', 'systemCode': 'hsii00', 'url': 'https://api.congress.gov/v3/committee/house/hsii00?format=json'}]",2014-11-19T15:00:00Z,"H.R. 1561, H.R. 1785, H.R. 4220, H.R. 4668, H.R. 4924, H.R. 4979, H.R. 5086, H.R. 5176 and H.R. 5699",none
36,House,113,102739,2024-05-17T15:46:45Z,https://api.congress.gov/v3/committee-meeting/113/house/102739?format=json,"[{'name': 'House Energy and Commerce Subcommittee on Oversight and Investigations', 'systemCode': 'hsif02', 'url': 'https://api.congress.gov/v3/committee/house/hsif02?format=json'}]",2014-11-18T18:00:00Z,Update on the U.S. Public Health Response to the Ebola Outbreak,none
42,House,113,102718,2024-05-17T15:46:27Z,https://api.congress.gov/v3/committee-meeting/113/house/102718?format=json,"[{'name': 'House Energy and Commerce Subcommittee on Oversight and Investigations', 'systemCode': 'hsif02', 'url': 'https://api.congress.gov/v3/committee/house/hsif02?format=json'}]",2014-10-16T16:00:00Z,Examining the U.S. Public Health Response to the Ebola Outbreak,none
46,House,113,102703,2024-05-17T15:46:08Z,https://api.congress.gov/v3/committee-meeting/113/house/102703?format=json,"[{'name': 'House Natural Resources', 'systemCode': 'hsii00', 'url': 'https://api.congress.gov/v3/committee/house/hsii00?format=json'}]",2014-09-18T15:00:00Z,"Full Committee Markup on H.R. 69, H.R. 706, H.R. 712, H.R. 1363, H.R. 1839, H.R. 3226, H.R. 3227, H.R. 3326, H.R. 3608, H.R. 3980, H.R. 3981, H.R. 4166, H.R. 4534, H.R. 4846, H.R. 5003, H.R. 5040, H.R. 5049, H.R. 5050, H.R. 5139, H.R. 5162, H.R. 5167, H.R. 5412, H.R. 5476, S. 363 and S. 609.",none
52,House,113,102689,2024-05-17T15:46:00Z,https://api.congress.gov/v3/committee-meeting/113/house/102689?format=json,"[{'systemCode': 'hsii13', 'url': 'https://api.congress.gov/v3/committee/house/hsii13?format=json'}]",2014-09-19T14:00:00Z,"Legislative Hearing: H.R. 4924 (Gosar), the “Bill Williams River Water Rights Settlement Act of 2014”",none
56,House,113,102683,2024-05-17T15:45:50Z,https://api.congress.gov/v3/committee-meeting/113/house/102683?format=json,"[{'name': 'House Energy and Commerce Subcommittee on Oversight and Investigations', 'systemCode': 'hsif02', 'url': 'https://api.congress.gov/v3/committee/house/hsif02?format=json'}]",2014-09-18T15:30:00Z,Suicide Prevention and Treatment: Helping Loved Ones in Mental Health Crisis,none
63,House,113,102665,2024-05-17T15:45:40Z,https://api.congress.gov/v3/committee-meeting/113/house/102665?format=json,"[{'name': 'House Natural Resources Subcommittee on Energy and Mineral Resources', 'systemCode': 'hsii06', 'url': 'https://api.congress.gov/v3/committee/house/hsii06?format=json'}]",2014-09-17T18:00:00Z,"Legislative hearing on:
• H.R. 5066 (Benishek), To reauthorize the National Geological and Geophysical Data Preservation Program Act of 2005 through 2019.  “Data Preservation Act of 2014.”
• H.R. 5176 (Lujan), To authorize the Secretary of the Interior to retire coal preference right lease applications for which the Secretary has made an affirmative commercial quantities determination, and for other purposes.",none
64,House,113,102664,2024-05-17T15:45:38Z,https://api.congress.gov/v3/committee-meeting/113/house/102664?format=json,"[{'name': 'House Natural Resources', 'systemCode': 'hsii00', 'url': 'https://api.congress.gov/v3/committee/house/hsii00?format=json'}]",2014-09-11T13:45:00Z,Oversight hearing titled “Oversight of the Office of Inspector General and its Ongoing Failure to Comply with a Subpoena for Documents about a Recent Investigation.”,none
