,chamber,congress,eventId,updateDate,url,committees,date,title,witnesses
0,House,117,115108,2026-04-24T15:26:59Z,https://api.congress.gov/v3/committee-meeting/117/house/115108?format=json,"[{'name': 'House Transportation and Infrastructure Subcommittee on Economic Development, Public Buildings, and Emergency Management', 'systemCode': 'hspw13', 'url': 'https://api.congress.gov/v3/committee/house/hspw13?format=json'}]",2022-09-15T14:00:00Z,“Recovery Update: Status of FEMA Recovery Efforts in Puerto Rico and U.S. Virgin Islands 5 Years After Hurricanes Irma and Maria”,"[{'name': 'Ms. Anne Bink', 'organization': 'Office of Response and Recovery, Federal Emergency Management Agency (FEMA)', 'position': 'Associate Administrator'}, {'name': 'Ms. Adrienne Williams', 'organization': 'Office of Disaster Recovery, U.S. Virgin Islands', 'position': 'Director'}, {'name': 'Mr. Manuel Laboy', 'organization': 'Office of Recovery, Reconstruction, and Resiliency, Puerto Rico', 'position': 'Executive Director'}, {'name': 'Ms. Shay Bahramirad', 'organization': 'LUMA Energy', 'position': 'Senior Vice President'}, {'name': 'Mr. Josue Colon', 'organization': 'Puerto Rico Electric Power Authority', 'position': 'Executive Director'}, {'name': 'Mr. Chris Currie', 'organization': 'Office of Homeland Security and Justice, Government Accountability Office, U.S. Department of Homeland Security', 'position': 'Director'}]"
1,House,117,115151,2026-04-20T16:06:48Z,https://api.congress.gov/v3/committee-meeting/117/house/115151?format=json,"[{'name': 'House Financial Services', 'systemCode': 'hsba00', 'url': 'https://api.congress.gov/v3/committee/house/hsba00?format=json'}]",2022-09-21T14:00:00Z,Holding Megabanks Accountable: Oversight of America’s Largest Consumer Facing Banks,"[{'name': 'Andy Cecere', 'organization': 'U.S. Bancorp', 'position': 'Chairman, President and CEO'}, {'name': 'William Rogers', 'organization': 'Truist Financial Corporation', 'position': 'Chairman and CEO'}, {'name': 'Jane Fraser', 'organization': 'Citigroup', 'position': 'CEO'}, {'name': 'William Demchak', 'organization': 'The PNC Financial Services Group', 'position': 'Chairman, President, and CEO'}, {'name': 'Brian Moynihan', 'organization': 'Bank of America', 'position': 'Chairman and CEO'}, {'name': 'Jamie Dimon', 'organization': 'JPMorgan Chase & Co.', 'position': 'Chairman and CEO'}, {'name': 'Charles Scharf', 'organization': 'Wells Fargo & Company', 'position': 'President and CEO'}]"
2,House,117,114277,2026-01-02T04:55:28Z,https://api.congress.gov/v3/committee-meeting/117/house/114277?format=json,"[{'name': 'House Natural Resources Subcommittee on Energy and Mineral Resources', 'systemCode': 'hsii06', 'url': 'https://api.congress.gov/v3/committee/house/hsii06?format=json'}]",2021-12-02T15:00:00Z,"""What More Public Lands Leasing Means for Achieving U.S. Climate Targets""","[{'name': 'The Honorable Carrie Hamblen', 'position': 'NM State Senator (D), District 38 CEO/President, Las Cruces Green Chamber of Commerce'}, {'name': 'Ms. Jade Begay', 'organization': 'Member, White House Environmental Justice Advisory Council', 'position': 'Climate Justice Campaign Director, NDN Collective'}, {'name': 'Mr. Erik Schlenker-Goodrich', 'organization': 'Western Environmental Law Center', 'position': 'Executive Director'}, {'name': 'Mr. Nick Loris', 'organization': 'Conservative Coalition for Climate Solutions', 'position': 'Vice President of Public Policy'}]"
3,House,117,112779,2026-01-02T04:55:28Z,https://api.congress.gov/v3/committee-meeting/117/house/112779?format=json,"[{'name': 'House Agriculture', 'systemCode': 'hsag00', 'url': 'https://api.congress.gov/v3/committee/house/hsag00?format=json'}]",2021-06-16T14:00:00Z,"“1890 Land Grant Institutions: Investing for Agricultural Resiliency, Equity, and Global Impact”","[{'name': 'Dr. Paul Jones', 'organization': 'Fort Valley State Univeristy', 'position': 'President'}, {'name': 'Dr. Heidi Anderson', 'organization': 'University of Maryland Eastern Shore', 'position': 'President'}, {'name': 'Dr. Tony Allen', 'organization': 'Delaware State University', 'position': 'President'}, {'name': 'Dr. Orlando McMeans', 'organization': 'Southern University Agricultural Research & Extension Center', 'position': 'Chancellor-Dean'}, {'name': 'Dr. Makola Abdullah', 'organization': ""Virginia State University and Council of 1890's Universities"", 'position': 'President and Chair'}]"
4,House,117,111173,2025-07-30T18:12:51Z,https://api.congress.gov/v3/committee-meeting/117/house/111173?format=json,"[{'systemCode': 'hsju01', 'url': 'https://api.congress.gov/v3/committee/house/hsju01?format=json'}]",2021-02-11T19:00:00Z,"Adoption of the Subcommittee’s Rules of Procedure and Statement of Policy for Private Immigration Bills; and Request for a DHS Departmental Report on the Beneficiaries of H.R. 187, H.R. 680, H.R. 739, and H.R. 785.",none
5,House,117,114872,2025-01-02T04:56:20Z,https://api.congress.gov/v3/committee-meeting/117/house/114872?format=json,"[{'systemCode': 'hshm05', 'url': 'https://api.congress.gov/v3/committee/house/hshm05?format=json'}]",2022-06-09T13:00:00Z,“Terrorism and Cryptocurrency: Industry Perspectives”,"[{'name': 'Mr. John Kothanek', 'organization': 'Coinbase Inc.', 'position': 'Vice President, Global Intelligence'}, {'name': 'Ms. Kristin Smith', 'organization': 'The Blockchain Association', 'position': 'Executive Director'}, {'name': 'Mr. Jonathan Levin', 'organization': 'Chainalysis Inc.', 'position': 'Co-Founder & Chief Strategy Officer'}]"
6,House,117,114265,2025-01-02T04:56:13Z,https://api.congress.gov/v3/committee-meeting/117/house/114265?format=json,"[{'name': 'House Energy and Commerce Subcommittee on Health', 'systemCode': 'hsif14', 'url': 'https://api.congress.gov/v3/committee/house/hsif14?format=json'}]",2021-12-02T15:30:00Z,“The Overdose Crisis: Interagency Proposal to Combat Illicit Fentanyl-Related Substances”,"[{'name': 'Mr. Kemp Chester', 'organization': 'Executive Office of the President, Office of National Drug Control Policy', 'position': 'Assistant Director'}, {'name': 'Mr. Douglas Throckmorton', 'organization': 'U.S. Food and Drug Administration', 'position': 'Deputy Director for Regulatory Programs, Center for Drug Evaluation and Research'}, {'name': 'Ms. Nora Volkow', 'organization': 'National Institutes of Health', 'position': 'Director, National Institute on Drug Abuse'}, {'name': 'Mr. Louis Milione', 'organization': 'U.S. Drug Enforcement Agency', 'position': 'Principal Deputy Administrator'}]"
7,House,117,112844,2025-01-02T04:56:12Z,https://api.congress.gov/v3/committee-meeting/117/house/112844?format=json,"[{'name': 'House Foreign Affairs', 'systemCode': 'hsfa00', 'url': 'https://api.congress.gov/v3/committee/house/hsfa00?format=json'}]",2021-06-24T17:00:00Z,Advancing and Protecting LGBTQI+ Rights Abroad,"[{'name': 'Mr. Scott Busby', 'organization': 'U.S. Department of State', 'position': 'Acting Principal Deputy Assistant Secretary, Bureau on Democracy, Human Rights, and Labor'}, {'name': 'Ms. Julie Dorf', 'organization': 'Council for Global Equality', 'position': 'Senior Advisor'}, {'name': 'Ms. Njeri Gateru', 'organization': 'National Gay & Lesbian Human Rights Commission', 'position': 'Executive Director'}, {'name': 'Ms. Isabela Gonzalez', 'organization': 'Asociacion Colectivo Alejandria El Salvador', 'position': 'Activist'}, {'name': 'Mr. W. Cole Durham, Jr.', 'organization': 'Brigham Young University Law School', 'position': 'Professor of Law and Founding Director, International Center for Law and Religion Studies'}]"
8,House,117,115257,2024-05-17T23:47:29Z,https://api.congress.gov/v3/committee-meeting/117/house/115257?format=json,"[{'name': 'House Rules', 'systemCode': 'hsru00', 'url': 'https://api.congress.gov/v3/committee/house/hsru00?format=json'}]",2022-12-22T22:30:00Z,"Senate Amendment to the House Amendment to the Senate Amendments to H.R. 2617—Consolidated Appropriations Act, 2023",none
9,House,117,115256,2024-05-17T23:47:29Z,https://api.congress.gov/v3/committee-meeting/117/house/115256?format=json,"[{'name': 'House Rules', 'systemCode': 'hsru00', 'url': 'https://api.congress.gov/v3/committee/house/hsru00?format=json'}]",2022-12-21T19:30:00Z,H.R. 9640—Presidential Tax Filing and Audit Transparency Act of 2022; S. 1942—National Heritage Area Act,none
