,chamber,congress,eventId,updateDate,url,committees,date,title,witnesses
8,Senate,119,338648,2026-07-09T00:08:22Z,https://api.congress.gov/v3/committee-meeting/119/senate/338648?format=json,"[{'name': 'Senate Energy and Natural Resources Subcommittee on Public Lands, Forests, and Mining', 'systemCode': 'sseg03', 'url': 'https://api.congress.gov/v3/committee/senate/sseg03?format=json'}]",2026-07-15T18:30:00Z,"Hearings to examine S.1791, to designate certain special management areas, wildlife conservation areas, protection areas, recreation areas, wilderness areas, and a scientific research and education area in the State of Colorado, S.4200, to promote conservation, improve public land, and provide for sensible development in Douglas County, Nevada, S.4239, to require the Secretary of the Interior to annually submit to Congress, and make publicly available on a website, a report on decommissioning offshore oil and gas wells, platforms, and pipelines, S.4383, to appoint a Geothermal Ombudsman and establish a Geothermal Permitting Task Force from within the Bureau of Land Management, S.4410, to amend the Mineral Leasing Act to provide for the payment of bonus payments of certain coal leases issued under that Act, S.4458, to establish the Caja del Rio Special Management Area and Caja del Rio National Conservation Area in the State of New Mexico, S.4561, to modernize and streamline the permitting process for broadband infrastructure on Federal land, S.4605, to amend the Geothermal Steam Act of 1970 to provide cost-recovery authority for the Department of the Interior, S.4715, to amend the Outer Continental Shelf Lands Act to establish fitness to operate standards and decommissioning escrow accounts for offshore oil and gas operators, H.R.655, to direct the Secretary of Agriculture to convey certain Federal land to the City of The Dalles, Oregon, H.R.1687, to amend the Geothermal Steam Act of 1970 to increase the frequency of lease sales, to require replacement sales, H.R.4090, to codify certain provisions of certain Executive Orders relating to domestic mining and hardrock mineral resources, H.R.5587, to amend the Geothermal Steam Act of 1970 to waive the requirement for a Federal drilling permit for certain activities, to exempt certain activities from the requirements of the National Environmental Policy Act of 1969, H.R.5631, to appoint a Geothermal Ombudsman and establish a Geothermal Permitting Task Force from within the Bureau of Land Management, and H.R.7831, to amend the Mineral Leasing Act to extend the period of time during which the Secretary of the Interior is required to collect a fee for each new application for a permit to drill.",none
18,Senate,119,338620,2026-07-01T20:08:23Z,https://api.congress.gov/v3/committee-meeting/119/senate/338620?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2026-07-15T20:30:00Z,To receive a closed briefing on the Department of War's fiscal year 2027 budget request.,none
30,Senate,119,338587,2026-06-23T22:08:24Z,https://api.congress.gov/v3/committee-meeting/119/senate/338587?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2026-06-24T14:00:00Z,"Hearings to examine the nomination of Kevin Lilly, of Texas, to be Assistant Secretary for Fish and Wildlife.",none
34,Senate,119,338581,2026-06-22T23:08:22Z,https://api.congress.gov/v3/committee-meeting/119/senate/338581?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2026-06-23T13:30:00Z,"Hearings to examine the nominations of William Hague, of Washington, to be an Assistant Secretary, Kevin Lilly, of Texas, to be Assistant Secretary for Fish and Wildlife, both of the Department of the Interior, and Kaveh Farzad, of Maryland, to be an Assistant Secretary of Energy (International Affairs).",none
46,Senate,119,338570,2026-06-16T22:08:22Z,https://api.congress.gov/v3/committee-meeting/119/senate/338570?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2026-06-17T14:00:00Z,Hearings to examine the state of the U.S. Territories.,none
47,Senate,119,338573,2026-06-16T22:08:22Z,https://api.congress.gov/v3/committee-meeting/119/senate/338573?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2026-06-17T13:30:00Z,"Business meeting to consider S.1547, to amend title 54, United States Code, to reauthorize the National Parks and Public Land Legacy Restoration Fund.",none
56,Senate,119,338549,2026-06-09T22:08:27Z,https://api.congress.gov/v3/committee-meeting/119/senate/338549?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2026-06-10T13:30:00Z,"Business meeting to consider S.140, to address the forest health crisis on the National Forest System and public lands, S.332, to require a study on Holocaust education efforts of States, local educational agencies, and public elementary and secondary schools, S.365 and H.R.1729, bills to amend the John D. Dingell, Jr. Conservation, Management, and Recreation Act to allow for additional entities to be eligible to complete the maintenance work on Bolts Ditch and the Bolts Ditch Headgate within the Holy Cross Wilderness, Colorado, S.764, to provide for the designation of certain wilderness areas, recreation management areas, and conservation areas in the State of Colorado, S.789, to require reports on critical mineral and rare earth element resources around the world and a strategy for the development of advanced mining, refining, separation, and processing technologies, S.791, to establish the Justice Thurgood Marshall National Historic Site in the State of Maryland as an affiliated area of the National Park System, S.888, to designate certain land administered by the Bureau of Land Management and the Forest Service in the State of Oregon as wilderness and national recreation areas, to withdraw certain land located in Curry County and Josephine County, Oregon, from all forms of entry, appropriation, or disposal under the public land laws, location, entry, and patent under the mining laws, and operation under the mineral leasing and geothermal leasing laws, S.945, to amend the Smith River National Recreation Area Act to include certain additions to the Smith River National Recreation Area, to amend the Wild and Scenic Rivers Act to designate certain wild rivers in the State of Oregon, S.1088 and H.R.2290, bills to provide that the memorial to commemorate the sacrifice and service of the women who worked on the home front to support the efforts of the United States military during World War II may be located on the National Mall, S.1288, to amend the John D. Dingell, Jr. Conservation, Management, and Recreation Act to designate as a component of the National Heritage Area System the Finger Lakes National Heritage Area in the State of New York, S.1341, to amend the Colorado Wilderness Act of 1993 to add certain land to the Sarvis Creek Wilderness, S.1349, to withdraw the National Forest System land in the Ruby Mountains subdistrict of the Humboldt-Toiyabe National Forest and the National Wildlife Refuge System land in Ruby Lake National Wildlife Refuge, Elko and White Pine Counties, Nevada, from operation under the mineral leasing laws, S.1413, to authorize additional funding for the San Joaquin River Restoration Settlement Act, S.1476, to amend the Wild and Scenic Rivers Act to designate certain segments of the Gila River system in the State of New Mexico as components of the National Wild and Scenic Rivers System, to provide for the transfer of administrative jurisdiction over certain Federal land in the State of New Mexico, S.1547, to amend title 54, United States Code, to reauthorize the National Parks and Public Land Legacy Restoration Fund, S.1737, to designate and expand wilderness areas in Olympic National Forest in the State of Washington, and to designate certain rivers in Olympic National Forest and Olympic National Park as wild and scenic rivers, S.1870, to adjust the boundary of the Santa Monica Mountains National Recreation Area to include the Rim of the Valley Corridor, S.2437 and H.R.3857, bills to amend the Snow Water Supply Forecasting Program Authorization Act, S.2753, to amend the Omnibus Public Land Management Act of 2009 to authorize certain extraordinary operation and maintenance work for urban canals of concern, S.3500 and H.R.3657, bills to amend the Federal Power Act to require the Federal Energy Regulatory Commission to annually submit to Congress a report on the status of ongoing hydropower relicensing applications, S.3518, to amend the Federal Power Act to address certain alterations in, and the maintenance and repair of, project works, to provide for the licensing of micro hydrokinetic energy projects, S.3526, to provide for the protection of and investment in certain Federal land in the State of California, S.3693, to extend the authorization for a large-scale water recycling and reuse grant program, S.3723, to require the Secretary of the Interior to conduct a study to determine the feasibility of constructing a project to supply municipal, rural, and industrial water from the Missouri River to the Western Dakota Regional Water System, S.3732, to amend the Water Infrastructure Improvements for the Nation Act to authorize assistance under the storage program, S.3736, to require the Secretary of the Interior to conduct a study to determine the feasibility of constructing a project to supply municipal, rural, and industrial water to the Dakota Mainstem Regional Water System service area in the States of South Dakota, Iowa, Nebraska, and Minnesota, S.3743, to direct the Secretary of",none
57,Senate,119,338547,2026-06-09T22:08:27Z,https://api.congress.gov/v3/committee-meeting/119/senate/338547?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2026-06-10T14:00:00Z,Hearings to examine the President's proposed budget request for fiscal year 2027 for the U.S. Fish and Wildlife Service.,none
63,Senate,119,338548,2026-06-04T18:08:40Z,https://api.congress.gov/v3/committee-meeting/119/senate/338548?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2026-06-10T14:00:00Z,"An oversight hearing to examine the Colorado river basin, including post-2026 operations negotiations.",none
67,Senate,119,338504,2026-06-02T22:38:24Z,https://api.congress.gov/v3/committee-meeting/119/senate/338504?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2026-06-03T14:00:00Z,Hearings to examine the President's proposed budget request for fiscal year 2027 for the Federal Highway Administration.,none
